Insert your age,How would you rate your overall health?,Does your work require sitting or moving more ?,How often do you get around on foot or by bicycle? ,How would you rate the amount of stress in your life? 
21,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
20,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
20,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
20,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
30,5,Moderate (involves both sitting and moving),Rarely,Medium
34,4,Mostly sitting (Involves movement less than 30 minutes per week),Rarely,High
28,5,Moderate (involves both sitting and moving),> 3 times a week,Medium
20,4,Moderate (involves both sitting and moving),Rarely,Medium
23,4,Mostly moving (Involves movement more than 3days per week),Most of the time,Medium
25,4,Moderate (involves both sitting and moving),> 3 times a week,High
20,3,Moderate (involves both sitting and moving),> 3 times a week,High
